Book Id	Title	Sort Character	Primary Author	Primary Author Role	Secondary Author	Secondary Author Roles	Publication	Date	Review	Rating	Comment	Private Comment	Summary	Media	Physical Description	Weight	Height	Thickness	Length	Dimensions	Page Count	LCCN	Acquired	Date Started	Date Read	Barcode	BCID	Tags	Collections	Languages	Original Languages	LC Classification	ISBN	ISBNs	Subjects	Dewey Decimal	Dewey Wording	Other Call Number	Copies	Source	Entry Date	From Where	OCLC	Work id	Lending Patron	Lending Status	Lending Start	Lending End
51374646	Ancient Wisdom: Nyingma Teachings of Dream Yoga, Mediatation & Transformation	1	Rinpoche, Gyatrul				Snow Lion Publications (1993), Edition: 1st, Paperback, 176 pages	1993					Ancient Wisdom: Nyingma Teachings of Dream Yoga, Mediatation & Transformation by Gyatrul Rinpoche (1993)	Paperback	176 p.; 8.4 inches	0.4 pounds	8.4 inches	0.5 inches	5.5 inches	8.4 x 5.5 x 0.5 inches	176 								Your library, Religion - Buddhism, Hinduism			BQ7662.6 .G93	[1559390182]	1559390182, 9781559390187	RÃ±iá¹…-ma-pa (Sect) > Doctrines|Spiritual life > RÃ±iá¹…-ma-pa (Sect)	294.3444	Buddhism > Buddhism - practice > Meditation > Other Religions > Personal Spiritual Path and Practice > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			1108767				
51374648	Walking through Walls: A Presentation of Tibetan Meditation	1	Lodro, Geshe Gendun				Snow Lion Publications (1992), Edition: 1, Paperback, 448 pages	1992					Walking through Walls: A Presentation of Tibetan Meditation by Geshe Gendun Lodro (1992)	Paperback	448 p.; 8.9 inches	1.55 pounds	8.9 inches	1.3 inches	6 inches	8.9 x 6 x 1.3 inches	448 								Your library, Religion - Buddhism, Hinduism		Tibetan	BQ7805 .L63	[1559390042]	1559390042, 9781559390040	Buddhism > China > Tibet > Doctrines|Meditation > Buddhism|Vipaâsyanåa (Buddhism)|âSamatha (Buddhism)	294.3443	Buddhism > Buddhism - practice > Meditation > Meditation & Mindfulness > Other Religions > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			1108710				
51374649	Myriad Worlds: Buddhist Cosmology in Abhidharma, Lalachakra & Dzog-chen	1	Taye, Jamgon Kongtrul Lodro				Snow Lion Publications (1995), Paperback, 304 pages	1995					Myriad Worlds: Buddhist Cosmology in Abhidharma, Lalachakra & Dzog-chen by Jamgon Kongtrul Lodro Taye (1995)	Paperback	304 p.; 8.9 inches	1.01 pounds	8.9 inches	0.63 inches	5.91 inches	8.9 x 5.91 x 0.63 inches	304 								Your library, Religion - Buddhism, Hinduism		Tibetan	BQ7632 .K66213	[1559390336]	1559390336, 9781559390330		294.3424	Buddhism > Buddhism - practice > Other Religions > Practice and tantra > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			308416				
51374650	The Cat Who Covered The World: The Adventures Of Henrietta And Her Foreign Correspondent	5	Wren, Christopher S.				Simon & Schuster (2000), Edition: 2nd printing, Hardcover, 208 pages	2000					The Cat Who Covered The World: The Adventures Of Henrietta And Her Foreign Correspondent by Christopher S. Wren (2000)	Hardcover	208 p.; 8.4 inches	0.8 pounds	8.4 inches	0.9 inches	5.9 inches	8.4 x 5.9 x 0.9 inches	208 								Your library, Humor, Non-fiction - General		English	PN4874 .W727	[0684871009]	0684871009, 9780684871004	Cats|Cats > Anecdotes|Cats > United States > Biography|Foreign correspondents > United States > Biography|Foreign correspondents > United States > Travel|Henrietta (Cat)|Voyages and travels|Voyages and travels > Anecdotes|Wren, Christopher S. (Christopher Sale), 1936-|Wren, Christopher S., 1936- > Journeys|cats	910.41092	Biography and History > Circumnavigation of the Earth > Geography and Travels  > Geography, Voyages And Travel > Special Topics		1	amazon.com	[2009-09-28]			121793				
51374651	Lectures on the Hyperreals: An Introduction to Nonstandard Analysis (Graduate Texts in Mathematics)	1	Goldblatt, Robert				Springer (1998), Edition: 1, Hardcover, 312 pages	1998					Lectures on the Hyperreals: An Introduction to Nonstandard Analysis (Graduate Texts in Mathematics) by Robert Goldblatt (1998)	Hardcover	312 p.; 9.3 inches	1.25 pounds	9.3 inches	1 inch	6.3 inches	9.3 x 6.3 x 1 inches	312 							Model Theory	Your library, Mathematics - Model Theory		English	QA299.82 .G65	[038798464X]	038798464X, 9780387984643		515	Analysis > Mathematics > Mathematics and Science		1	amazon.com	[2009-09-28]			3111574				
51374652	Chanting the Names of Manjusri: The Manjusri Nama Samgiti (Sanskrit and Tibetan Edition)	1	Waymen, Alex				Motilal Banarsidass, (1999), Edition: 1, Hardcover, 123 pages	1999					Chanting the Names of Manjusri: The Manjusri Nama Samgiti (Sanskrit and Tibetan Edition) by Alex Waymen (1999)	Hardcover	123 p.; 9.5 inches	1 pound	9.5 inches	0.6 inches	7.3 inches	9.5 x 7.3 x 0.6 inches	123 								Your library, Religion - Buddhism, Hinduism				[8120816536]	8120816536, 9788120816534					1	amazon.com	[2009-09-28]			6179481				
51374653	What is Mathematical Logic?	1	Ash, C. J.				Dover Publications (1990), Paperback, 82 pages	1990					What is Mathematical Logic? by C. J. Ash (1990)	Paperback	96 p.; 8.3 inches	0.3 pounds	8.3 inches	0.3 inches	5.4 inches	8.3 x 5.4 x 0.3 inches	96 								Your library, Mathematics - Logic		English	QA9 .W47	[0486264041]	0486264041, 9780486264042	Logic, Symbolic and mathematical	511.3	General Principles > Logic > Mathematics > Mathematics and Science		1	amazon.com	[2009-09-28]			532232				
51374654	The Heart Treasure of the Enlightened Ones: The Practice of View, Meditation, and Action: A Discourse Virtuous in the Beginning, Middle, and End	5	Rinpoche, Patrul				Shambhala (1993), Edition: 1st, Paperback, 260 pages	1993					The Heart Treasure of the Enlightened Ones: The Practice of View, Meditation, and Action: A Discourse Virtuous in the Beginning, Middle, and End by Patrul Rinpoche (1993)	Paperback	260 p.; 8.3 inches	0.65 pounds	8.3 inches	0.9 inches	5.4 inches	8.3 x 5.4 x 0.9 inches	260 								Your library, Religion - Buddhism, Hinduism			BQ4138 .T55	[0877734933]	0877734933, 9780877734932		294.342	Buddhism > Buddhism - practice > Other Religions > Practice and tantra > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			536809				
51374657	Matrix of Mystery: Scientific and Humanistic Aspects of rDzogs-chen Thought	1	Guenther, Herbert V.				Shambhala (2001), Paperback, 328 pages	2001					Matrix of Mystery: Scientific and Humanistic Aspects of rDzogs-chen Thought by Herbert V. Guenther (2001)	Paperback	328 p.; 8.8 inches	1 pound	8.8 inches	0.9 inches	5.9 inches	8.8 x 5.9 x 0.9 inches	328 								Your library, Religion - Buddhism, Hinduism		English	BQ7662.4 .G83	[1570626499]	1570626499, 9781570626494		294	Other Religions > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			241481				
51374658	The Tantric Distinction, Revised: A Buddhist's Reflections on Compassion and Emptiness	5	Hopkins, Jeffrey				Wisdom Publications (1999), Edition: Revised, Paperback, 176 pages	1999					The Tantric Distinction, Revised: A Buddhist's Reflections on Compassion and Emptiness by Jeffrey Hopkins (1999)	Paperback	192 p.; 9 inches	0.69 pounds	9 inches	0.63 inches	6.05 inches	9 x 6.05 x 0.63 inches	192 								Your library, Religion - Buddhism, Hinduism		English	BQ7634 .H66	[0861711548]	0861711548, 9780861711543	Compassion > Religious aspects > Tantric Buddhism|Compassion > Tantric Buddhism|Spiritual life > Tantric Buddhism|Sunyata|Tantric Buddhism > Doctrines	294.3420425	Buddhism > Buddhism - practice > Metaphysical aspects > Other Religions > Practice and tantra > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			1124376				
